,Review_Date,Author,Rating,Review_Title,Review,Review_Url,Movie
58,19 August 2022,fluffchop,7," Enjoyable if you have to see something at the cinema
",My sister wanted to go to a movie with me. Ok let's see Thor I said. It was a little short at 2 hours or so for the money we paid. We've all seen Marvel films by now so it's a movie you know what to expect going into so it's not a gamble. Nothing to write home about but enjoyable. Interesting choice of soundtrack which will either be loved or hated by many I would say. It needed a good half hour more to flesh out the story. It was really quite short for a Marvel film. I'd watch it again when it comes on TV but wouldn't really recommend it to non-Marvel fans as I don't think it's very appealing overall.,/review/rw8373605/?ref_=tt_urv,Thor_Love_and_Thunder_2022
59,8 July 2022,adibshahriar,1," Worst film of my life
",Don't waste your money on this. The jokes were the lamest in the world. The film had no pace. And it was cringy af. Marvel is over. Please stop disrespecting the art of cinema like this. Disgraceful movie.,/review/rw8373605/?ref_=tt_urv,Thor_Love_and_Thunder_2022
60,15 July 2022,rh_0809,," Taika Waititi is not the right director for Thor.
","The ones who know a bit about norse mythology or at least have read some of Thor's comics know that he isn't just a jester guy with a hammer. Sadly in MCU Thor was only once really Thor and it was in Avengers: Infinity War, where we finally feel that he is the protector of Midgard and the God of thunder as in mythology. I'm not saying that Taika Waititi is a bad director, but the fact is he wrote and directed this empty movie with some jokes. He could maybe make a great Deadpool movie but Thor should have been more than this. Even Christian Bale's outstanding performance as Gorr couldn't save it. The real Thor fans aren't going to enjoy this movie.",/review/rw8373605/?ref_=tt_urv,Thor_Love_and_Thunder_2022
61,9 July 2022,chrisgray-31350,2," Complete Disappointment
","If you loved the other Thor movies, stay home and watch them again. This was by far one of the worst Marvel movies to date. The plot was all over the place, the acting other than Christian Bale was just God awful.",/review/rw8373605/?ref_=tt_urv,Thor_Love_and_Thunder_2022
62,7 July 2022,Zeus-pro,7," If you don't compare it to Ragnarok, then Love and Thunder is enjoyable
","Thor: Love and Thunder is largely successful in honoring Thor's long journey towards self-actualization and rarely falters while keying into the crackling chemistry between leads Chris Hemsworth, Natalie Portman, and Tessa Thompson. It's essentially the MCU's first romantic comedy, and plays with those tropes in delightful ways. But while Thor and Jane's relationship is handled well, Love and Thunder is less deft -- and a lot safer than you'd expect -- in pushing the greater MCU story forward. Christian Bale's Gorr feels underutilized and Tessa Thompson's King Valkyrie takes a frustrating back seat, especially as the movie goes on. Taika Waititi's signature humor and visual style persist from Ragnarok, and are essential to buoying the movie through its cookie-cutter plot. With Hemsworth as enthusiastic an Asgardian as ever, Thor's future with both love and thunder are bright.",/review/rw8373605/?ref_=tt_urv,Thor_Love_and_Thunder_2022
63,7 July 2022,charles-limcw,3," Unfunny Terribly Scripted Junk
","A nowhere piece of junk - the infantile director and totally amateurish writers can't even decide if its meant for adults or children. In either case, it's just ludicrously bad.",/review/rw8373605/?ref_=tt_urv,Thor_Love_and_Thunder_2022
64,7 July 2022,shaikhirshad-41223,8," A FUN WATCH BUT DON'T EXPECT TOO MUCH..
",Well 1st time in Marvel a 4th Movie for any character that's a big achievement and a joy moment for all THOR fans. Well talking about the movie if you know the movie director than you should probably get the idea of his movie making. As I being completely honest I was expecting more but still I like it what the director has deliver us. Chris Hemsworth is far More better than in the endgame. Natalie & Tessa simply nailed it with rest of the cast. Story could've been more better because you have such a powerful villain but I don't know what the director thought and movies runtime could be long rather than it's Christian Bale just nailed it. Yeah he has less screentime but whenever he comes at screen he'll just made your day. Director should've given a lot more time to Gorr but still nonetheless. Anyway It's a fun movie if you are a THOR fan you'll definitely like it but don't expect too much because it's a standalone film as it should be....,/review/rw8373605/?ref_=tt_urv,Thor_Love_and_Thunder_2022
65,6 July 2022,CoopaSoopa,5," A colourful film with a loose plot
","After seeing doctor strange in the multiverse of madness; which I did enjoy; I came into this movie with rather mediocre expectations, overall I think the film was good but not great.",/review/rw8373605/?ref_=tt_urv,Thor_Love_and_Thunder_2022
66,7 July 2022,movieman6-413-929510,7," The comedy in this fourth Thor film often unnecessarily overshadows the story and drama sides.
","Thor: Love and Thunder is the fourth Thor film in the film series. Like the third Thor film, this film is directed and this time also partly written by Taika Waititi.",/review/rw8373605/?ref_=tt_urv,Thor_Love_and_Thunder_2022
67,7 July 2022,dave_maguire,1," Absolutely thorful
","I love Thor - maybe an unpopular opinion but the first Thor film is one of favourites in the whole MCU. The fish out of water comedy elements were great and Chris Hemsworth shone with these comic moments. Thor got funnier as the movies went on but still retained a serious edge to the character. Then Taika Waititi got hold of the franchise to tell a story of loss and pain with ragnarok, and turned him in to an all out comedy foil - And this is much the same as that movie. Don't get me wrong, I did laugh at some bits, but then immediately thought this is ridiculous. I know people clearly like him but in my opinion Waititi has no place being involved these films, if Gorr hasn't butchered your god, then pray to them that he is never allowed near the franchise again!",/review/rw8373605/?ref_=tt_urv,Thor_Love_and_Thunder_2022
